sentence,key_word,header,href,text
"Хотите повысить свои шансы на получение этой работы? Напишите в сопроводительном письме кодовое слово ""Яндекс"" Так мы поймем, что вы внимательно прочитали описание вакансии и это даст вам несколько очков форы перед другими кандидатами",Яндекс,Менеджер по продажам b2b (Ed-Tech),https://hh.ru/vacancy/83671172?from=vacancy_search_list&query=%D0%9D%D0%B0%D0%BF%D0%B8%D1%88%D0%B8%D1%82%D0%B5+%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D0%BC+%D1%81%D0%BB%D0%BE%D0%B2%D0%BE,"Обязанности:  Делайте всего 1-2 видеовстречи в день с представителями среднего и крупного бизнеса Заинтересуйте клиента уникальными конкурентными преимуществами продукта Отправьте персонализированное коммерческое предложение по итогам переговоров Получите согласие на покупку и проконтролируйте оплату, бухгалтерией заниматься НЕ нужно    Требования:  Навыки переговоров с лицами, принимающими решения со стороны бизнеса (HR директоры, руководители корпоративных центров обучения, генеральные директоры) Умение работать с крупными чеками (наша типовая сделка на сумму от 500 000 – 1 000 000 руб.) Готовность работать в АМО CRM Дисциплинированность в методологии учета проводимых вами сделок    Хотите узнать больше?Жмите ОТКЛИКНУТЬСЯЧтобы задать вопрос в чат hh О компании: Официальное трудоустройство в компанию ЯНДЕКС ПРАКТИКУМ (Лицензия № Л035−01298−77/00185 314 от 24 марта 2015 года)  Продукт – корпоративный английский для сотрудников Клиенты – компании со штатом от 300 человек Уникальность – ключевое отличие от конкурентов, это гарантия достижения нового уровня владения языком по окончании каждого курса Сам курс – обучение с личным преподавателем, общение с носителями языка из 37 стран мира + безлимитная языковая практика  Обучение построено на кембриджской методологии освоения английского языка  1500+ сотрудников Яндекса сами являются пользователями продукта (предлагайте то, чем пользуетесь сами)    Условия:  Гарантированный оклад 60 000 руб. мес. (чистыми)  ВАЖНО! Наша вакансия отличается от конкурентов тем, что вы получаете оклад в любом случае, даже если у вас будет 0 продаж в первый месяц. Другие подобные вакансии обычно предлагают НЕ более 30 000 руб. мес.  KPI 20 000 руб. мес. (чистыми)  Выплачивается за выполнение нормы по назначенным и состоявшимся встречам, даже если у вас будет 0 продаж (норма 22 встречи в месяц).  Премия 140 000 руб. мес. (чистыми) в среднем  Вы получаете 4% от выручки. Наш средний менеджер продает на 3,5 млн. руб. в месяц. В таком случае 140 тысяч будет составлять только ваша премия, а суммарный доход 220 000 руб. мес. (чистыми). ВАЖНО! У нас нет обнуления премии при НЕ выполнении плана продаж. Вы получаете % от выручки при продажах на любую сумму.  Рабочие дни Пн- Пт Время работы с 09:00 до 18:00 Работа на дому Для проведения видеовстреч вам понадобится компьютер, веб-камера, тишина на фоне, хорошее освещение Бесплатное обучение английскому языку Оплачиваемое (компания платит вам) обучение продукту и процессам продаж  Узнайте подробности ДО собеседования!Жмите ОТКЛИКНУТЬСЯЧтобы задать вопрос в чат hh   Процесс трудоустройства:Быстрый отбор в 2 этапа  1й этап видеоинтервью с рекрутером 2й этап видеособеседование с руководителем отдела продаж  Результат при минимуме усилий: кандидаты, прошедшие успешно 1-й этап, с вероятностью 80% получают работу. Ясные сроки: сообщаем результат через 5 рабочих дней максимум. ВАЖНО! Мы ищем действительно сильных людей в команду, так что будьте готовы показать ваши навыки на интервью. Если вы изучите информацию о нашем продукте в открытых источниках, это вам поможет. Нравится вакансия? Жмите ОТКЛИКНУТЬСЯЧтобы выбрать дату и время интервью   Хотите повысить свои шансы на получение этой работы? Напишите в сопроводительном письме кодовое слово ""Яндекс"" Так мы поймем, что вы внимательно прочитали описание вакансии и это даст вам несколько очков форы перед другими кандидатами"
"Если Вы внимательно прочитали вакансию и решили, что хотите принять участие в конкурсе, начните свое сопроводительное письмо со слов: “Я готов пройти дополнительные этапы отбора”, а также напишите, почему мы должны взять именно Вас. Кандидаты с фотографией и те, кто “продаст” себя через сопроводительное письмо, будут рассматриваться в первую очередь!",Я готов пройти дополнительные этапы отбора,Менеджер по продажам оборудования B2B,https://hh.ru/vacancy/83439334?from=vacancy_search_list&query=%D0%9D%D0%B0%D0%BF%D0%B8%D1%88%D0%B8%D1%82%D0%B5+%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D0%BC+%D1%81%D0%BB%D0%BE%D0%B2%D0%BE,"Добрый день, дорогой кандидат! Эту вакансию для Вас написал директор, он же владелец, так как считаю, что отношение главы компании влияет на успех и рост бизнеса. ООО “Энерджи Девелопмент” образовано 15 июля 2013 года. С момента создания компании на пути к основной цели, мы уже достигли успехов. Являемся официальными партнерами мировых топовых производителей оборудования технической диагностики и неразрушающего контроля. Работаем над интереснейшими проектами в области авиа и вертолетостроения, нефтегазовой, химической, металлургической отраслях. Уже 10 лет нам доверяют свои задачи крупные и небольшие компании такие как Роснефть, ОДК, Вертолеты России. Наши заказчики считают нас профессионалами своего дела, основные партнёры очень высоко оценивают наши компетенции и стиль работы по повышению эффективности малой и крупной российской промышленности! Про наш продукт Высокотехнологичное оборудование по технической диагностике и неразрушающему контролю, предлагая которое вы будете гордиться и иметь сопричастность к большим проектам. Почему открыта вакансия Внутри компании мы постоянно совершенствуемся и имеем стратегию развития. В 2021 году Энерджи Девелопмент выросло в 2 раза, в 2022 году удержали эту планку. Ближайшая цель на 2023-2024 годы, вырасти в 3 раза с помощью высококвалифицированной дружной команды. Эта вакансия для тех, кто планирует вывести свою жизнь на новый уровень и понимает, что достойно прожить на 70 000 - 100 000 рублей невозможно, так как чтобы иметь счастливую семью, крутую среду для жизни, лучший отпуск и просто кайфовать нужен кэш. Поэтому наша компания - это инструмент для таких целей.   Чем Вы будете заниматься?  Прямыми продажами и развитием постоянных продаж оборудования для ключевых клиентов. Отвечать на вопросы и отрабатывать возражения, их бывает достаточно много. Проводить выездные и онлайн демонстраций для большинства клиентов. Сопровождать клиентов от первого звонка до подписания договора (более 30 клиентов одновременно). Работать с базой клиентов в АmoCRM. Подготовкой и проверкой оформления конкурсной документации, участие в тендерах.    Мы даем вам: Неограниченный среднемесячный доход от 120 000 руб. (оклад + KPI), состоящий из оклада, ежемесячных бонусов, а также бонусов по результатам квартала и года. Очень точная система мотивации, вы всегда понимаете, за что получаете деньги. С начала этого года среднемесячный доход ведущего менеджера по продажам по данному направлению - 220 000 руб.. Текущий рекорд максимального дохода за месяц ведущего менеджера в нашей компании равен 863 000 руб. Полностью белая зарплата и оформление по ТК. Возможность реализовать интересные идеи - у Вас не будет времени прохлаждаться. Креативный дружный коллектив, где каждый является специалистом в своей области и готов делиться успешным опытом. Непрерывное развитие - у нас действует система обучения, каждый сотрудник постоянно повышает личностные и профессиональные компетенции. Для сотрудников организована внутренняя библиотека и обучающий портал. Возможность карьерного роста. Вы можете вырасти в Руководителя отдела продаж. Уютный и стильный офис в активном живописном месте Москвы на Лужнецкой набережной (10 минут от метро Воробьевы Горы), где будут проводиться встречи. Наши ценности  Использовать новые прогрессивные технологии, быть в “тренде”. Зарабатывает тот, кто работает (прозрачная система мотивации). Скорость в работе и постоянная “прокачка” компетентности. Каждый из нас имеет множество возможностей применить свои таланты, но сознательно выбирает команду Энерджи Девелопмент как лучший способ самореализации.  Если Вы:  Уверенный человек, понимающий, что продажи - это ваш залог успеха и процветания. Приветствуется, если имеете опыт в продажах приборов для определения химического анализа веществ или промышленного оборудования. Постоянно повышаете свою экспертность в продажах. Не боитесь сложных переговоров с том-менеджментом и владельцами бизнеса. Видите возможность в изменениях. Можете одновременно держать на контроле и иметь в работе более 30 задач. Готовы сами принимать решения и их аргументировать. Умеете выявлять боли и потребности, задавать вопросы и проявлять заботу о клиенте. Способны донести ценность продукта клиенту и коллегам. Источник позитива и драйва для всей команды, который способен передавать положительную энергетику и хорошее настроение клиенту по телефону. Тот, кому важен продукт компании и хочет приносить пользу клиентам. Кому важен дружный коллектив и интересная командная игра.  То Вы — наш человек! Если Вы внимательно прочитали вакансию и решили, что хотите принять участие в конкурсе, начните свое сопроводительное письмо со слов: «Я готов пройти дополнительные этапы отбора» и «у меня есть опыт работы», а также напишите, почему мы должны взять именно Вас. Кандидаты с фотографией и те, кто “продаст” себя через сопроводительное письмо, будут рассматриваться в первую очередь! Внимание!!! Вакансия открыта до 10 августа включительно. Резюме без сопроводительного письма не рассматриваются.  "
"В сопроводительном письме напишите сколько будет словом ""2+7"" (без этого условия резюме не будет рассматриваться).",2+7,Менеджер по продажам,https://hh.ru/vacancy/82993271?from=vacancy_search_list&query=%D0%9D%D0%B0%D0%BF%D0%B8%D1%88%D0%B8%D1%82%D0%B5+%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D0%BC+%D1%81%D0%BB%D0%BE%D0%B2%D0%BE,"В новый флагманский бутик интерьеров HENGE, требуются сотрудники. Ищем коммуникабельного, внимательного, дисциплинированного человека с опытом работы в продажах, в мебельной сфере или в отделочных материала сегмента люкс, с опытом работ в CRM системах. Владение английским языком обязательно. Вы станете профессионалом в сфере люкса, постоянно находясь на стыке самых современных тенденций. Вам придется много работать, в том числе сверхурочно. Пропускать через себя большие объемы информации. Работать в режиме многозадачности, затрагивая разные сферы. Если не готовы, да же не тратьте ни свое, ни наше время. Ключевые требования:  внимательность активность опыт и желание работы в продажах, в идеале в мебельной сфере или в сфере дизайна и архитектуры сегмента люкс готовность много работать и зарабатывать  Обязанности:  участие в процессах компании (продажи, дизайн, реализация) координация встреч, консультирование клиентов подбор и продажа мебели, кухонь, светильников, предметов интерьера, аксессуаров знание делового этикета подготовка необходимых документов оформление заказов на фабрику  Требования:  активность, позитивность, жизнерадостность, целеустремленность, легкость на подъем, исполнительность, желание расти и добиваться результатов в работе обязателен опыт в продажах, либо желание развиваться в данной сфере желательно владение Adobe Photoshop, Autocad, Acrhicad грамотная речь, презентабельный внешний вид английский и/или итальянский языки  В сопроводительном письме напишите сколько будет словом ""2+7"" (без этого условия резюме не будет рассматриваться). Условия:  бутик и офис в центре Москвы (м. Боровицкая) график работы - ежедневно с 10.00 до 20.00 (плавающие выходные) оформление по ТК РФ фикс + высокий % от продаж + разные надбавки за различные результаты "
начните свое сопроводительное письмо со слов: “Я готов пройти дополнительные этапы отбора”,Я готов пройти дополнительные этапы отбора,Менеджер по продажам B2B,https://hh.ru/vacancy/81916857?from=vacancy_search_list&query=%D0%9D%D0%B0%D0%BF%D0%B8%D1%88%D0%B8%D1%82%D0%B5+%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D0%BC+%D1%81%D0%BB%D0%BE%D0%B2%D0%BE,"Добрый день, дорогой кандидат! Эту вакансию для Вас написал директор, он же владелец, так как считаю, что отношение главы компании влияет на успех и рост бизнеса. ООО “Энерджи Девелопмент” образовано 15 июля 2013 года. С момента создания компании на пути к основной цели, мы уже достигли успехов. Являемся официальными партнерами мировых топовых производителей оборудования технической диагностики и неразрушающего контроля. Работаем над интереснейшими проектами в области авиа и вертолетостроения, нефтегазовой, химической, металлургической отраслях. Уже 10 лет нам доверяют свои задачи крупные и небольшие компании такие как Роснефть, ОДК, Вертолеты России. Наши заказчики считают нас профессионалами своего дела, основные партнёры очень высоко оценивают наши компетенции и стиль работы по повышению эффективности малой и крупной российской промышленности! Про наш продукт Высокотехнологичное оборудование по технической диагностике и неразрушающему контролю, предлагая которое вы будете гордиться и иметь сопричастность к большим проектам. Почему открыта вакансия Внутри компании мы постоянно совершенствуемся и имеем стратегию развития. В 2021 году Энерджи Девелопмент выросло в 2 раза, в 2022 году удержали эту планку. Ближайшая цель на 2023-2024 годы, вырасти в 3 раза с помощью высококвалифицированной дружной команды. Эта вакансия для тех, кто планирует вывести свою жизнь на новый уровень и понимает, что в мегаполисе прожить на 70 000 - 100 000 рублей невозможно, так как чтобы иметь счастливую семью, крутую среду для жизни, лучший отпуск и просто кайфовать нужен кэш. Поэтому наша компания - это инструмент для таких целей.   Чем Вы будете заниматься?  Прямыми продажами и развитием постоянных продаж оборудования для ключевых клиентов. Отвечать на вопросы и отрабатывать возражения, их бывает достаточно много. Проводить выездные и онлайн демонстраций для большинства клиентов. Сопровождать клиентов от первого звонка до подписания договора (более 30 клиентов одновременно). Работать с базой клиентов в АmoCRM. Подготовкой и проверкой оформления конкурсной документации, участие в тендерах.    Мы даем вам: Неограниченный среднемесячный доход от 120 000 руб. (оклад + KPI), состоящий из оклада, ежемесячных бонусов, а также бонусов по результатам квартала и года. Очень точная система мотивации, вы всегда понимаете, за что получаете деньги. С начала этого года среднемесячный доход ведущего менеджера по продажам по данному направлению - 220 000 руб.. Текущий рекорд максимального дохода за месяц ведущего менеджера в нашей компании равен 863 000 руб. Полностью белая зарплата и оформление по ТК. Возможность реализовать интересные идеи - у Вас не будет времени прохлаждаться. Креативный дружный коллектив, где каждый является специалистом в своей области и готов делиться успешным опытом. Классно оборудованные рабочие места — новейшая техника, Вам никто не мешает работать, все программы, телефония уже настроены и готовы к Вашему первому звонку. Рабочий день в офисе начинается с 8.00 до 10.00. Ты сам выбираешь удобное время начала работы. продолжительность рабочего дня 7,5 часов либо 8 часов. Сам контролируй своё время. Непрерывное развитие - у нас действует система обучения, каждый сотрудник постоянно повышает личностные и профессиональные компетенции. Для сотрудников организована внутренняя библиотека и обучающий портал. Возможность карьерного роста. Вы можете вырасти в Руководителя отдела продаж. Уютный и стильный офис в активном живописном месте Москвы на Лужнецкой набережной д.6 стр. 1 (10 минут от метро Воробьевы Горы). Наши ценности  Использовать новые прогрессивные технологии, быть в “тренде”. Зарабатывает тот, кто работает (прозрачная система мотивации). Скорость в работе и постоянная “прокачка” компетентности. Каждый из нас имеет множество возможностей применить свои таланты, но сознательно выбирает команду Энерджи Девелопмент как лучший способ самореализации.  Если Вы:  Уверенный человек, понимающий, что продажи - это ваш залог успеха и процветания. Постоянно повышаете свою экспертность в продажах. Не боитесь сложных переговоров с том-менеджментом и владельцами бизнеса. Видите возможность в изменениях. Можете одновременно держать на контроле и иметь в работе более 30 задач. Готовы сами принимать решения и их аргументировать. Умеете выявлять боли и потребности, задавать вопросы и проявлять заботу о клиенте. Способны донести ценность продукта клиенту и коллегам. Источник позитива и драйва для всей команды, который способен передавать положительную энергетику и хорошее настроение клиенту по телефону. Тот, кому важен продукт компании и хочет приносить пользу клиентам. Кому важен дружный коллектив и интересная командная игра.  То Вы — наш человек! Если Вы внимательно прочитали вакансию и решили, что хотите принять участие в конкурсе, начните свое сопроводительное письмо со слов: “Я готов пройти дополнительные этапы отбора”, а также напишите, почему мы должны взять именно Вас. Кандидаты с фотографией и те, кто “продаст” себя через сопроводительное письмо, будут рассматриваться в первую очередь! Внимание!!! Вакансия открыта до 10 августа включительно. Резюме без сопроводительного письма не рассматриваются.    "
"Если Вы дочитали описание до этого момента, напишите сопроводительное письмо со слов ""Мой отклик осознан""",Мой отклик осознан,Менеджер по продажам (профиль для СПК),https://hh.ru/vacancy/83323432?from=vacancy_search_list&query=%D0%9D%D0%B0%D0%BF%D0%B8%D1%88%D0%B8%D1%82%D0%B5+%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D0%BC+%D1%81%D0%BB%D0%BE%D0%B2%D0%BE,"Производим и продаем алюминиевый профиль различного назначения. Открыли новое направление (производство алюминиевого профиля для светопрозрачных конструкций) и ищем сотрудников в наш коллектив. Обязанности:  Активные продажи в сегменте b2b. Поиск объектов строительства, переработчиков, заказчиков с целью установления долгосрочных партнерских отношений Участие в переговорах с ключевыми клиентами и переработчиками. Согласование условий сотрудничества Развитие продаж новых товарных направлений.    Требования:  Образование – высшее (техническое, строительное, менеджмент, маркетинг как доп. образование); Опыт работы от 3 лет в должности: менеджера по продажам Знание рынка алюминиевого профиля, конструкций и НВФ (будет являться преимуществом); Знание рынка переработчиков алюминиевого профиля (будет являться преимуществом); Опыт в привлечении проектов; ПК уверенный пользователь, MS Office, 1С, CRM, AutoCad; Отличные презентационные навыки, умение вести переговоры; Навыки составления технико-коммерческих предложений; Опыт работы с тендерными площадками; Личностные характеристики: системность, гибкость, стрессоустойчивость, коммуникабельность.    Условия:  Оформление в соответствии с Трудовым кодексом РФ; Месторасположение: Волоколамское шоссе 142, БЦ ИРБИС, 10 мин. ходьбы от ст.м. Волоколамская/Пенягино; График работы: 5/2; Режим работы: пн.-пт. с 09.00/10.00 до 18.00/19.00; Оклад 80 000 рублей + премия. Уровень дохода от 150 000 рублей на руки Заработная плата по итогам собеседования (стабильно и без задержек); Компенсация мобильной связи; Работа в перспективной компании Постоянное обучение и профессиональное развитие    Слово руководителя: уважаемый соискатель, если вы дочитали текст вакансии до моего сообщения, то вам не составит труда потратить еще несколько минут и познакомиться со мной. Мой опыт в продажах по направлению строительства и около строительной тематики более 18 лет. Опыт работы в сфере светопрозрачных конструкций и фасадов более 10 лет. За время работы мне доводилось трудиться и монтажником, и прорабом, и начальником участка, и руководителем проекта, и менеджером, и коммерческим директором – удалось пройти все этапы по разным направлениям. На сегодня я четко знаю и понимаю, что сфера остекления мне безумно интересна, у меня горят глаза и бесконечные планы в этом направлении. Принимая решение оставить отклик на нашу вакансию, вы можете быть уверены, что во главе коллектива стоят достойные и компетентные люд, которые помогут адаптироваться, расти и развиваться вместе с компанией. Upd: размещаем вакансию повторно, так как в апреле приняли двух специалистов и теперь понимаем, что они не справляются. Если Вы дочитали описание до этого момента, напишите сопроводительное письмо со слов ""Мой отклик осознан"""
"Если ты хочешь стать частью нашей команды и готов вписать свое имя в историю – мы ждем твоего отклика! Начни его с фразы «Хочу работать в РОССУВЕНИР» и напиши в двух словах 3 своих главных достижения в сфере продаж, которыми ты гордишься!",Хочу работать в РОССУВЕНИР,"Менеджер по продажам (B2B, B2G), удаленно",https://hh.ru/vacancy/83428514?from=vacancy_search_list&query=%D0%9D%D0%B0%D0%BF%D0%B8%D1%88%D0%B8%D1%82%D0%B5+%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D0%BC+%D1%81%D0%BB%D0%BE%D0%B2%D0%BE,"Привет! Мы команда РОССУВЕНИР!   Более 8 лет мы профессионально занимаемся деловыми подарками, бизнес-сувенирами, полиграфией – рекламой, за которую всегда говорят: «Спасибо»!   Что из себя представляет этот рынок?  Просто факт: суммарный объем российского рынка маркетинговых коммуникаций в 2022 году оказался равен примерно 1 трлн рублей (по данным исследования АКАР).   Своей работой мы помогаем компаниям по всей России в решении маркетинговых, коммуникационных и HR задач и за это время мы достигли отличных результатов:  Входим в ТОП-12 среди рекламным агентств России (по внутренним рейтингам наших ключевых поставщиков); Ежегодно делаем существенный рост в продажах; Мы невероятно стабильны: компанию открыли в кризис 2014, выросли в 2 раза по объему продаж в коронавирус, а в событиях 2022 года существенно приросли в марже в 21 году; Имеем 100 производственных компаний-поставщиков в Москве, Новосибирске, Екатеринбурге и Челябинске и партнерские склады сувенирной продукции в 14 крупнейших городах России; Работаем напрямую с десятками фабрик в Китае для изготовления индивидуальной тиражной продукции.    Мы активно развиваемся и за 5 месяцев 23 года наш темп роста продаж в марже к аналогичному периоду 22 и 21 года составил +200%!   С первого дня работы мы поняли, что главное в нашей компании – Клиенты и Команда, потому у нас работают одни из самых сильных сотрудников на рынке, что подтверждается тем, что объемы продаж на одного менеджера в нашей компании больше, чем в других агентствах. Мы максимально сосредоточены на эффективность нашей работы, потому средний чек в РОССУВЕНИР, больше чем в региональных рекламных агентствах без преувеличения в несколько раз и у нас есть минимальная сумма заказа 50 000 рублей, потому с заказами на 100 визиток и 10 ручек наши менеджеры не работают.   А наши клиенты высоко ценят наш сервис и рады нашей совместной работе – просто прочитайте отзывы о нас в сервисе Flamp (2гис), где среднйи бал составляет 4,9. Уже много лет нам доверяют РЖД, Ростелеком, Технониколь, Алроса, 2гис, Транснефть и сотни других компаний по всей России – от Калининграда до Чукотки!   Наш головной офис находится в Новосибирске, а в этом году мы намерены открыть еще один офис в г. Москва. С 2021 года в нашей компании появился удаленный формат работы и сейчас более 50% сотрудников уже успешно работают в таком формате.   У нас налажен маркетинг и уже сейчас мы испытываем лидопередоз – лидов, клиентов, которым можно продавать, уже больше, чем менеджеров в отделе продаж, именно потому мы формируем новые группы продаж.   Кто такой менеджер по продажам в нашей компании? Фактически, это человек, который управляет сделкой как проектом и имеет широкие полномочия: для решения задач, связанных с продажей и исполнением обязательств, привлекает необходимых сотрудников компании и наших внешних партнеров. Самое главное – выполнить план продаж, и чтобы клиент остался доволен и стал твоим «постоянником»! Как показывает наша практика, более 76% клиентов заказывает у нас снова более чем 3 раза в году!   Чем предстоит заниматься?  Осуществлять продажи клиентам,  которые уже есть в нашей базе, которые обратились в нашу компанию, которые представляют интерес для нашей компании    Сразу отметим, искать клиентов в интернете, в Яндексе и т.п. у нас не надо – мы предоставим базу потенциальных клиентов для проработки.  Вести полный цикл сделки – от заявки до отгрузки; Безусловно выполнять план продаж в полном объеме (а за перевыполнение плана у нас очень классные дополнительные бонусы!). Развивать своих текущих клиентов и формировать лояльные, долгосрочные и взаимовыгодные отношения с ними.    Кого бы мы хотели видеть на данной должности?  У тебя горят глаза, ты хочешь зарабатывать много и готов для этого эффективно работать и учиться; У тебя имеется опыт продаж от полугода (можно даже в B2C). Совсем круто, если был опыт в проектных продажах и в B2B и B2G; Приветствуется опыт работы в рекламе, полиграфии    Что мы предложим взамен?  У нас нет потолка по доходу – наши успешные менеджеры зарабатывают сотни тысяч рублей (и это не фигура речи, ты сможешь пообщаться с каждым из них и понять в чем их фишки и особенности). Выплаты включают в себя Оклад + KPI + % с продаж, квартальные бонусы и мотивационные игры с очень ценными призами. Удаленная работа в ТВОЕМ часовом поясе 5/2 с 9:00 до 18:00. Для работы надо желание + компьютер с гарнитурой; Мы научим тебя самому продукту и нашим технологиям продаж на старте и будем регулярно вкладываться в твое развитие в дальнейшем. Помимо этого, почти каждый месяц наши поставщики проводят обучение для наших сотрудников. Также в компании практикуется и внешнее обучение успешных менеджеров (с оплатой обучения 50/50). Мы супер онлайн компания: все обучение в онлайне, клиенты в CRM с IP телефонией и интеграцией мессенджеров, встречи в ZOOM. Как ты ранее прочитал – наш продукт очень востребован, а с учетом продаж на всю Россию, вопрос «Кому продавать?» никогда не возникнет в твоей голове. Молодая и энергичная команда, покоряющая новые вершины. Средний возраст 28-30 лет. Возможность профессионального роста до старшего менеджера и руководителя новой группы продаж (к примеру, один из руководителей групп прошел путь от ассистента отдела продаж до руководителя).  РОССУВЕНИР сегодня – компания, которая меняет правила игры на рекламном рынке. Мы создаем компанию, которая дает высокий уровень сервиса клиентам, а сотрудникам в ней комфортно работать, они в ней продуктивны и достойно зарабатывают! Если ты хочешь стать частью нашей команды и готов вписать свое имя в историю – мы ждем твоего отклика! Начни его с фразы «Хочу работать в РОССУВЕНИР» и напиши в двух словах 3 своих главных достижения в сфере продаж, которыми ты гордишься!    С нетерпением ждем тебя в команду!   "
